index,Time,Gender,PercentOW,PercentOB
0,"[1971,1974]",F,10.1,5.1
1,"[1976,1980]",F,9.0,5.6
2,"[1988,1994]",F,13.4,9.8
3,"[1999,2000]",F,13.4,13.8
4,"[2001,2002]",F,15.0,14.3
5,"[2003,2004]",F,16.3,16.0
6,"[2005,2006]",F,14.6,14.9
7,"[2007,2008]",F,15.4,15.9
8,"[2009,2010]",F,15.4,15.0
9,"[2011,2012]",F,14.5,17.2
10,"[2013,2014]",F,16.0,17.1
11,"[1971,1974]",M,10.3,5.3
12,"[1976,1980]",M,9.4,5.4
13,"[1988,1994]",M,12.6,10.2
14,"[1999,2000]",M,15.0,14.0
15,"[2001,2002]",M,14.2,16.4
16,"[2003,2004]",M,16.6,18.2
17,"[2005,2006]",M,14.7,15.9
18,"[2007,2008]",M,14.3,17.7
19,"[2009,2010]",M,14.4,18.6
20,"[2011,2012]",M,15.4,16.7
21,"[2013,2014]",M,16.4,17.2
22,"[1971,1974]",All,10.2,5.2
23,"[1976,1980]",All,9.2,5.5
24,"[1988,1994]",All,13.0,10.0
25,"[1999,2000]",All,14.2,13.9
26,"[2001,2002]",All,14.6,15.4
27,"[2003,2004]",All,16.5,17.1
28,"[2005,2006]",All,14.6,15.4
29,"[2007,2008]",All,14.8,16.8
30,"[2009,2010]",All,14.9,16.9
31,"[2011,2012]",All,14.9,16.9
32,"[2013,2014]",All,16.2,17.2
